999,0.5606542825698853,0.8015370965003967,0.7437378839254379,38
1999,0.359302818775177,0.8691983222961426,0.7752100670337677,30
2999,0.9161866307258606,0.789678692817688,0.7963445541858674,32
3999,0.28905531764030457,0.8950421214103699,0.8070534955263138,30
4999,0.13168826699256897,0.9529272317886353,0.823725421667099,42
5999,0.15653595328330994,0.948930561542511,0.8305242037773133,39
6999,0.2761956453323364,0.8840773105621338,0.8360903944969177,23
7999,0.57797771692276,0.8602726459503174,0.836482882976532,33
8999,0.30448105931282043,0.8883363604545593,0.8392270772457123,38
9999,0.21309494972229004,0.9254570603370667,0.8399801530838013,36
10999,0.09971273690462112,0.9636075496673584,0.841328350186348,31
11999,0.18337127566337585,0.9387341737747192,0.8419394862651824,35
12999,0.11750271916389465,0.9631760716438293,0.8420276056528091,31
13999,0.11726183444261551,0.9545792937278748,0.8421939108371734,26
14999,0.16828946769237518,0.932188093662262,0.842168833732605,38
15999,0.09718368947505951,0.9685726761817932,0.843234154343605,39
16999,0.2794150114059448,0.8992404937744141,0.843038108587265,34
17999,0.22269153594970703,0.923384428024292,0.8432930269241333,29
18999,0.09056008607149124,0.9683544039726257,0.8431254459619522,33
19999,0.35078489780426025,0.8915009498596191,0.8423856006860733,38
999,0.4351685345172882,0.8458408713340759,0.7455270954370499,38
1999,0.4165710210800171,0.8300181031227112,0.7736548718214035,30
2999,0.33830729126930237,0.9001947641372681,0.8010523136854172,36
3999,0.23837342858314514,0.9251054525375366,0.8207505674362182,34
4999,0.07583670318126678,0.9742879867553711,0.8327806199789047,42
999,0.42795538902282715,0.8521699905395508,0.7422838095426559,38
1999,0.3635806441307068,0.8679927587509155,0.7866350810527801,30
2999,0.27665263414382935,0.9211295247077942,0.8025411719083786,36
3999,0.23569367825984955,0.927742600440979,0.817934690117836,34
4999,0.1177254244685173,0.9608386158943176,0.8302050471305847,42
5999,0.17774857580661774,0.9441291689872742,0.8363419221639633,39
999,0.4872416853904724,0.8236889839172363,0.7347115795612336,38
1999,0.423042356967926,0.8384568691253662,0.782370653629303,30
2999,0.3753984272480011,0.8972736597061157,0.800036526799202,36
999,0.44847235083580017,0.836347222328186,0.744184898853302,38
1999,0.3707399070262909,0.872814953327179,0.7843668093681335,30
2999,0.3876664936542511,0.8855891227722168,0.8018965775966644,36
